,ASIN,Brand,Category,SalesRank,US_BrandURL,JP_BrandURL,AliBrandURL,GoglBrandURL
41486,B01BYUL4HC,Clear Choice,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",267176,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AClear+Choice,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AClear+Choice,https://www.aliexpress.com/af/Clear+Choice.html,https://www.google.com/search?q=Clear+Choice
467,B00HCC2L60,Chard,"Home & Kitchen,Kitchen & Dining,Small Appliances,Fryers,Deep Fryers",268951,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AChard,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AChard,https://www.aliexpress.com/af/Chard.html,https://www.google.com/search?q=Chard
41436,B0942S94LB,Bright Kitchen,"Home & Kitchen,Kitchen & Dining,Small Appliances,Specialty Appliances,Dehydrators",271993,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABright+Kitchen,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABright+Kitchen,https://www.aliexpress.com/af/Bright+Kitchen.html,https://www.google.com/search?q=Bright+Kitchen
41465,B091B5KHH2,HINGPROFIE,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",303046,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AHINGPROFIE,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AHINGPROFIE,https://www.aliexpress.com/af/HINGPROFIE.html,https://www.google.com/search?q=HINGPROFIE
4,B08CLZ12PK,TMI,"Appliances,Parts & Accessories,Humidifier Parts & Accessories,Accessories",304691,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ATMI,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ATMI,https://www.aliexpress.com/af/TMI.html,https://www.google.com/search?q=TMI
41424,B07TVDN7RS,PrimeCo,"Appliances,Parts & Accessories",305674,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3APrimeCo,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3APrimeCo,https://www.aliexpress.com/af/PrimeCo.html,https://www.google.com/search?q=PrimeCo
41477,B078YK78S7,ChocoMaker,"Home & Kitchen,Kitchen & Dining,Small Appliances,Specialty Appliances,Chocolate Fountains",309122,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AChocoMaker,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AChocoMaker,https://www.aliexpress.com/af/ChocoMaker.html,https://www.google.com/search?q=ChocoMaker
14,B00HV0M60O,Henny Penny,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",311986,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AHenny+Penny,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AHenny+Penny,https://www.aliexpress.com/af/Henny+Penny.html,https://www.google.com/search?q=Henny+Penny
69,B00HLZG9SY,Whirlpool,"Appliances,Parts & Accessories,Range Parts & Accessories,Accessories",319969,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AWhirlpool,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AWhirlpool,https://www.aliexpress.com/af/Whirlpool.html,https://www.google.com/search?q=Whirlpool
41513,B01GXOQKQ4,LG,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",331523,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ALG,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ALG,https://www.aliexpress.com/af/LG.html,https://www.google.com/search?q=LG
41464,B004ZYP28C,Better Chef,"Home & Kitchen,Kitchen & Dining,Small Appliances,Rice Cookers",347633,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABetter+Chef,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABetter+Chef,https://www.aliexpress.com/af/Better+Chef.html,https://www.google.com/search?q=Better+Chef
76,B01GSKLTLE,Saeco,"Appliances,Parts & Accessories",355195,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ASaeco,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ASaeco,https://www.aliexpress.com/af/Saeco.html,https://www.google.com/search?q=Saeco
73,B00HNQ8DXK,Beverage Air,"Appliances,Parts & Accessories",355956,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABeverage+Air,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABeverage+Air,https://www.aliexpress.com/af/Beverage+Air.html,https://www.google.com/search?q=Beverage+Air
156,B075B2SP8X,UpStart Components,"Appliances,Parts & Accessories,Oven Parts & Accessories",369321,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AUpStart+Components,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AUpStart+Components,https://www.aliexpress.com/af/UpStart+Components.html,https://www.google.com/search?q=UpStart+Components
27789,B000DZFTG2,Dundas Jafine,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Vents",396203,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ADundas+Jafine,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ADundas+Jafine,https://www.aliexpress.com/af/Dundas+Jafine.html,https://www.google.com/search?q=Dundas+Jafine
70,B077BPFNK6,newlifeapp,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories",433322,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3Anewlifeapp,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3Anewlifeapp,https://www.aliexpress.com/af/newlifeapp.html,https://www.google.com/search?q=newlifeapp
41461,B08JPQPD9R,Suninhome,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Handles",444212,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ASuninhome,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ASuninhome,https://www.aliexpress.com/af/Suninhome.html,https://www.google.com/search?q=Suninhome
27794,B075ZYHFQP,AquaMonica,"Appliances,Parts & Accessories,Freezer Parts & Accessories",466482,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAquaMonica,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAquaMonica,https://www.aliexpress.com/af/AquaMonica.html,https://www.google.com/search?q=AquaMonica
41485,B00155U4NW,Broan-NuTone,"Appliances,Parts & Accessories,Range Hood Parts & Accessories",479716,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABroan-NuTone,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABroan-NuTone,https://www.aliexpress.com/af/Broan-NuTone.html,https://www.google.com/search?q=Broan-NuTone
41474,B00VEF8A34,Edgewater Parts,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",485878,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AEdgewater+Parts,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AEdgewater+Parts,https://www.aliexpress.com/af/Edgewater+Parts.html,https://www.google.com/search?q=Edgewater+Parts
41418,B07MR6JGJ5,ApplianPar,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",489008,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AApplianPar,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AApplianPar,https://www.aliexpress.com/af/ApplianPar.html,https://www.google.com/search?q=ApplianPar
41463,B08V9262DB,Omabeta,"Home & Kitchen,Kitchen & Dining,Small Appliances,Specialty Appliances,Sandwich Makers & Panini Presses",512410,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AOmabeta,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AOmabeta,https://www.aliexpress.com/af/Omabeta.html,https://www.google.com/search?q=Omabeta
41505,B078S27S1R,BOSCH,"Appliances,Parts & Accessories",523099,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABOSCH,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABOSCH,https://www.aliexpress.com/af/BOSCH.html,https://www.google.com/search?q=BOSCH
27791,B0856RL58Q,Yong accessories,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",536417,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AYong+accessories,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AYong+accessories,https://www.aliexpress.com/af/Yong+accessories.html,https://www.google.com/search?q=Yong+accessories
41514,B082H5NPJ8,ForeverPRO,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories",543109,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AForeverPRO,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AForeverPRO,https://www.aliexpress.com/af/ForeverPRO.html,https://www.google.com/search?q=ForeverPRO
41438,B002YTRYWW,Dacor,"Appliances,Parts & Accessories",556582,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ADacor,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ADacor,https://www.aliexpress.com/af/Dacor.html,https://www.google.com/search?q=Dacor
27754,B07L7CTYG2,MAYITOP,"Appliances,Parts & Accessories,Washer Parts & Accessories",565402,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AMAYITOP,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AMAYITOP,https://www.aliexpress.com/af/MAYITOP.html,https://www.google.com/search?q=MAYITOP
27790,B08MYJSSRS,wenlidong,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",605801,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3Awenlidong,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3Awenlidong,https://www.aliexpress.com/af/wenlidong.html,https://www.google.com/search?q=wenlidong
27761,B082PSH1MV,WY,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",607044,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AWY,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AWY,https://www.aliexpress.com/af/WY.html,https://www.google.com/search?q=WY
27783,B08TBJ15RS,NARAMAX,"Appliances,Parts & Accessories,Range Parts & Accessories,Accessories",616248,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ANARAMAX,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ANARAMAX,https://www.aliexpress.com/af/NARAMAX.html,https://www.google.com/search?q=NARAMAX
41449,B088MM9KQ5,PartsBroz,"Appliances,Parts & Accessories,Range Parts & Accessories,Knobs",639496,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3APartsBroz,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3APartsBroz,https://www.aliexpress.com/af/PartsBroz.html,https://www.google.com/search?q=PartsBroz
41511,B07B4MBGSG,OFG Products,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Vents",677891,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AOFG+Products,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AOFG+Products,https://www.aliexpress.com/af/OFG+Products.html,https://www.google.com/search?q=OFG+Products
138,B003AURRF8,Leviton,"Appliances,Parts & Accessories,Range Parts & Accessories,Plug Receptacles",686292,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ALeviton,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ALeviton,https://www.aliexpress.com/af/Leviton.html,https://www.google.com/search?q=Leviton
41494,B07FDLN5MP,Aqua Fresh,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",687091,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAqua+Fresh,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAqua+Fresh,https://www.aliexpress.com/af/Aqua+Fresh.html,https://www.google.com/search?q=Aqua+Fresh
27767,B07TDZ14LW,KLMHT,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",704258,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AKLMHT,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AKLMHT,https://www.aliexpress.com/af/KLMHT.html,https://www.google.com/search?q=KLMHT
41493,B076P2N3TH,Filters Only,"Appliances,Parts & Accessories",706176,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AFilters+Only,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AFilters+Only,https://www.aliexpress.com/af/Filters+Only.html,https://www.google.com/search?q=Filters+Only
41442,B00NBAMWHU,Component Hardware,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",728898,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AComponent+Hardware,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AComponent+Hardware,https://www.aliexpress.com/af/Component+Hardware.html,https://www.google.com/search?q=Component+Hardware
41478,B076PPC48H,Best Choice Water Filters,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",734201,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABest+Choice+Water+Filters,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABest+Choice+Water+Filters,https://www.aliexpress.com/af/Best+Choice+Water+Filters.html,https://www.google.com/search?q=Best+Choice+Water+Filters
41450,B00MPT1SHS,Brema,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",738222,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABrema,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABrema,https://www.aliexpress.com/af/Brema.html,https://www.google.com/search?q=Brema
27763,B0001Q45X6,RANGE KLEEN MFG INC,"Appliances,Parts & Accessories,Range Parts & Accessories,Drip Pans",765296,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ARANGE+KLEEN+MFG+INC,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ARANGE+KLEEN+MFG+INC,https://www.aliexpress.com/af/RANGE+KLEEN+MFG+INC.html,https://www.google.com/search?q=RANGE+KLEEN+MFG+INC
41457,B00YD390OM,Upstart Battery,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",792626,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AUpstart+Battery,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AUpstart+Battery,https://www.aliexpress.com/af/Upstart+Battery.html,https://www.google.com/search?q=Upstart+Battery
41432,B008KWOOHU,NORCOLD INC,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories",815438,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ANORCOLD+INC,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ANORCOLD+INC,https://www.aliexpress.com/af/NORCOLD+INC.html,https://www.google.com/search?q=NORCOLD+INC
27804,B07ZFDF98G,lovermusic,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories",823947,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3Alovermusic,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3Alovermusic,https://www.aliexpress.com/af/lovermusic.html,https://www.google.com/search?q=lovermusic
41495,B08LY7TXJF,ClimaTek,"Appliances,Parts & Accessories,Oven Parts & Accessories",841004,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AClimaTek,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AClimaTek,https://www.aliexpress.com/af/ClimaTek.html,https://www.google.com/search?q=ClimaTek
27750,B0927SXCYG,YeaFun,"Home & Kitchen,Kitchen & Dining,Small Appliances,Fryers,Deep Fryers",852916,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AYeaFun,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AYeaFun,https://www.aliexpress.com/af/YeaFun.html,https://www.google.com/search?q=YeaFun
27775,B081F9R3H4,AYNEFY,"Appliances,Parts & Accessories",860473,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAYNEFY,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAYNEFY,https://www.aliexpress.com/af/AYNEFY.html,https://www.google.com/search?q=AYNEFY
27785,B08F27LJ7D,DRELD,"Appliances,Parts & Accessories,Dryer Parts & Accessories,Replacement Parts",876129,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ADRELD,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ADRELD,https://www.aliexpress.com/af/DRELD.html,https://www.google.com/search?q=DRELD
27788,B015SPP146,Denali Pure,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",891135,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ADenali+Pure,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ADenali+Pure,https://www.aliexpress.com/af/Denali+Pure.html,https://www.google.com/search?q=Denali+Pure
41806,B0061TXJPW,Tribest,"Home & Kitchen,Kitchen & Dining,Small Appliances",905241,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ATribest,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ATribest,https://www.aliexpress.com/af/Tribest.html,https://www.google.com/search?q=Tribest
27764,B08J47H3GF,XMHF,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",1031797,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AXMHF,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AXMHF,https://www.aliexpress.com/af/XMHF.html,https://www.google.com/search?q=XMHF
13,B00HV0NH7K,Bunn,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",1276592,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABunn,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABunn,https://www.aliexpress.com/af/Bunn.html,https://www.google.com/search?q=Bunn
41781,B075LDKVKK,KUNHEWUHUA,"Home & Kitchen,Kitchen & Dining,Small Appliances,Electric Cake Pop & Mini Cake Makers,Mini Donut Makers",1357512,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AKUNHEWUHUA,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AKUNHEWUHUA,https://www.aliexpress.com/af/KUNHEWUHUA.html,https://www.google.com/search?q=KUNHEWUHUA
58,B00LPU4834,Stanco Metal Prod,"Appliances,Parts & Accessories,Range Parts & Accessories,Burner Rings",1451909,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AStanco+Metal+Prod,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AStanco+Metal+Prod,https://www.aliexpress.com/af/Stanco+Metal+Prod.html,https://www.google.com/search?q=Stanco+Metal+Prod
53,B07JLLMBDM,APPLIANCEPARTS2U,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Ice Makers",1534676,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAPPLIANCEPARTS2U,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAPPLIANCEPARTS2U,https://www.aliexpress.com/af/APPLIANCEPARTS2U.html,https://www.google.com/search?q=APPLIANCEPARTS2U
41799,B00EMQMHK4,Southbend Range,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",1987688,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ASouthbend+Range,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ASouthbend+Range,https://www.aliexpress.com/af/Southbend+Range.html,https://www.google.com/search?q=Southbend+Range
41795,B00HWS5ZV2,HATCO,"Appliances,Parts & Accessories,Range Parts & Accessories",2048578,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AHATCO,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AHATCO,https://www.aliexpress.com/af/HATCO.html,https://www.google.com/search?q=HATCO
41789,B00QJCPIL4,Uniweld,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories",2214330,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AUniweld,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AUniweld,https://www.aliexpress.com/af/Uniweld.html,https://www.google.com/search?q=Uniweld
27813,B007FNC7UG,Kitchen Advance,"Home & Kitchen,Kitchen & Dining,Small Appliances",2530520,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AKitchen+Advance,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AKitchen+Advance,https://www.aliexpress.com/af/Kitchen+Advance.html,https://www.google.com/search?q=Kitchen+Advance
27766,B083QMLBSN,Service Parts,"Home & Kitchen,Kitchen & Dining,Small Appliances",2590093,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AService+Parts,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AService+Parts,https://www.aliexpress.com/af/Service+Parts.html,https://www.google.com/search?q=Service+Parts
41792,B00N99KE50,Champion,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",2739606,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AChampion,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AChampion,https://www.aliexpress.com/af/Champion.html,https://www.google.com/search?q=Champion
27774,B083R65385,ABOX,"Home & Kitchen,Kitchen & Dining,Small Appliances",2919785,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AABOX,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AABOX,https://www.aliexpress.com/af/ABOX.html,https://www.google.com/search?q=ABOX
159,B07B3NFC9T,supaporn shop,Appliances,3370869,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3Asupaporn+shop,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3Asupaporn+shop,https://www.aliexpress.com/af/supaporn+shop.html,https://www.google.com/search?q=supaporn+shop
41797,B00ENLKSDQ,American Range,"Appliances,Parts & Accessories,Range Parts & Accessories",3662834,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAmerican+Range,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAmerican+Range,https://www.aliexpress.com/af/American+Range.html,https://www.google.com/search?q=American+Range
41793,B00M7D0MCY,CLEVELAND,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",3858991,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ACLEVELAND,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ACLEVELAND,https://www.aliexpress.com/af/CLEVELAND.html,https://www.google.com/search?q=CLEVELAND
